id;isim;olusturma_tarih;baslama_tarih;sure;cevap_anahtar;deneme_info_json
1;Plastic;2022-07-06;2022-07-06T16:09:49;64594;payment Namibia;payment Dollar silver
2;Sausages;2022-07-06;2022-07-05T20:41:37;92779;Berkshire Fundamental;HDD
3;auxiliary Dollar;2022-07-06;2022-07-06T16:44:27;37841;Refined;initiatives Toys
4;metrics Oregon Robust;2022-07-05;2022-07-06T07:59:05;56709;Fish;Central
5;robust Intranet Frozen;2022-07-05;2022-07-05T21:25:39;97282;up Hungary;Table Division Gloves
6;blockchains Maryland;2022-07-06;2022-07-05T21:00:21;78949;overriding scalable Algerian;SQL
7;Colombia;2022-07-06;2022-07-05T22:03:03;20650;platforms backing Cambridgeshire;Guernsey loyalty Account
8;index Bike withdrawal;2022-07-06;2022-07-05T20:23:01;42018;Configuration Public-key open-source;override
9;input;2022-07-06;2022-07-06T01:55:26;18222;Technician;Factors
10;SSL;2022-07-06;2022-07-06T07:55:57;84603;connecting Greenland;Burundi sensor Wooden
