id;dogru;yanlis;puan;cozuldu;konu_analiz_json;sure
1;11747;89455;22277;false;Security Refined;61047
2;79379;57627;98097;true;Graphic;11065
3;75077;79218;15960;false;Krone Checking Chief;77835
4;21308;70156;2540;false;Fords monetize Decentralized;64274
5;84342;16346;43306;true;lavender best-of-breed Credit;92763
6;74500;81333;34773;true;sexy best-of-breed wireless;57727
7;41980;20594;33639;false;copy Tasty concept;50323
8;9920;89345;21473;true;input Frozen Stream;53081
9;97542;54425;29901;false;Cross-group Rica copying;44667
10;59507;5992;79862;false;killer Krona Republic);70871
