id;user_name;eposta;mesaj;goruldu;tarih
1;Usability;back-end Rhode state;vortals;true;2022-12-06
2;knowledge Malta;Oman blue Qatari;RAM Frozen SAS;true;2022-12-06
3;Wooden Tactics Corporate;Corporate AGP;redundant Jewelery;true;2022-12-07
4;withdrawal Applications Generic;Tasty;Checking;false;2022-12-07
5;Rustic Plastic;Account Michigan core;blue Checking Wyoming;true;2022-12-07
6;Buckinghamshire Rubber;content;Louisiana XSS;false;2022-12-06
7;relationships attitude-oriented;El Berkshire payment;PCI seize Rubber;true;2022-12-06
8;Solutions;Cotton redefine;USB;true;2022-12-06
9;Secured;Card state;Passage Rustic Massachusetts;true;2022-12-07
10;extranet Avon;Infrastructure best-of-breed;Chips;true;2022-12-06
