id;isim;cevap;sira;resim_url;a;b;c;d;cevapli
1;Jewelery Nebraska CSS;Agent;73548;Berkshire envisioneer;Handcrafted stable;Sausages;architectures;Persistent SAS;true
2;Corporate e-business;Mouse;43139;payment;Canada Business-focused Sausages;communities;payment Spur;payment interface;false
3;Pizza;Dynamic;70047;Rupee;hardware Shoes;feed Surinam Gorgeous;Steel integrate bottom-line;wireless salmon support;false
4;Madagascar;Handcrafted;74954;Outdoors panel fresh-thinking;Metal Frozen deposit;Sausages;Customer solid Canada;Practical intranet;true
5;cohesive online;calculating capacitor compress;91696;Cotton Mandatory;Argentine;Multi-tiered Buckinghamshire turquoise;Tools eyeballs hacking;wireless;true
6;Louisiana hack Marketing;Denar Senior;30474;Baby Virginia;compelling bandwidth synthesizing;PNG;Fantastic gold Legacy;Licensed;false
7;SSL;open Lithuania;76515;Toys;empower engage;quantifying;Canada Global;Auto;false
8;optical forecast;integrated connect Mountains;68377;local SDD Carolina;Soap Direct Inverse;payment;Ports Intranet;Island;true
9;e-markets generate Frozen;Shirt azure;67077;Shirt;real-time Function-based;Baby;Pound cross-platform calculate;PNG Mountain Analyst;true
10;Gloves;reintermediate Dominican;13240;Managed mission-critical up;Bacon Czech;Highway yellow driver;array portals;Kids Creative Tasty;false
